"speaker","listener","dialogue","Narrative_lower","Narrative_noNumbers","Narrative_noStopWords","Narrative_noPunctuation","Narrative_noTypos","Narrative_noSpaces","Narrative_Stem","Narrative_Lemma"
"Waitress","Harry","Harry Potter.","harry potter.","harry potter.","harry potter.","harry potter","harry potter","harry potter","harri potter","harry potter"
"Waitress","Harry","Who's Harry Potter?","who's harry potter?","who's harry potter?"," harry potter?"," harry potter"," harry potter"," harry potter","harri potter","harry potter"
"Harry","Waitress","Um, no one.","um, no one.","um, no one.","um,  one.","um  one","um  one","um one","um on","um one"
"Harry","Waitress","Bit of a tosser, really.","bit of a tosser, really.","bit of a tosser, really.","bit   tosser, really.","bit   tosser really","bit   tosser really","bit tosser really","bit tosser realli","bite tosser really"
"Waitress","Harry","Funny that paper of yours.","funny that paper of yours.","funny that paper of yours.","funny  paper  .","funny  paper  ","funny  paper  ","funny paper ","funni paper","funny paper"
"Waitress","Harry","Couple of minutes ago, I could have sworn I saw a picture move.","couple of minutes ago, i could have sworn i saw a picture move.","couple of minutes ago, i could have sworn i saw a picture move.","couple  minutes ago,    sworn  saw  picture move.","couple  minutes ago    sworn  saw  picture move","couple  minutes ago    sworn  saw  picture move","couple minutes ago sworn saw picture move","coupl minut ago sworn saw pictur move","couple minute ago swear see picture move"
"Harry","Waitress","Really?","really?","really?","really?","really","really","really","realli","really"
"Waitress","Harry","While I was going around the train.","while i was going around the train.","while i was going around the train.","   going around  train.","   going around  train","   going around  train"," going around train","go around train","go around train"
"Harry","Waitress","Okay, I was wondering--","okay, i was wondering--","okay, i was wondering--","okay,   wondering--","okay   wondering","okay   wondering","okay wondering","okai wonder","okay wonder"
"Waitress","Harry","Eleven. That's when I get off.","eleven. that's when i get off.","eleven. that's when i get off.","eleven.    get .","eleven    get ","eleven    get ","eleven get ","eleven get","eleven get"
"Waitress","Harry","You can tell me all about that tosser Harry Potter.","you can tell me all about that tosser harry potter.","you can tell me all about that tosser harry potter."," can tell     tosser harry potter."," can tell     tosser harry potter"," can tell     tosser harry potter"," can tell tosser harry potter","can tell tosser harri potter","can tell tosser harry potter"
"Dumbledore","Harry","You've been reckless this summer, Harry.","you've been reckless this summer, harry.","you've been reckless this summer, harry.","  reckless  summer, harry.","  reckless  summer harry","  reckless  summer harry"," reckless summer harry","reckless summer harri","reckless summer harry"
"Harry","Dumbledore","I like riding around the trains.","i like riding around the trains.","i like riding around the trains."," like riding around  trains."," like riding around  trains"," like riding around  trains"," like riding around trains","like ride around train","like ride around train"
"Harry","Dumbledore","Takes my mind off things.","takes my mind off things.","takes my mind off things.","takes  mind  things.","takes  mind  things","takes  mind  things","takes mind things","take mind thing","take mind thing"
"Dumbledore","Harry","All unpleasant to behold, isn't it?","all unpleasant to behold, isn't it?","all unpleasant to behold, isn't it?"," unpleasant  behold,  ?"," unpleasant  behold  "," unpleasant  behold  "," unpleasant behold ","unpleas behold","unpleasant behold"
"Dumbledore","Harry","The tale is thrilling if I say so myself.","the tale is thrilling if i say so myself.","the tale is thrilling if i say so myself."," tale  thrilling   say  ."," tale  thrilling   say  "," tale  thrilling   say  "," tale thrilling say ","tale thrill sai","tale thrill say"
